Winner,Loser,Drow_Flg
502838276294705162,812918364715483158,False
502838276294705162,812918364715483158,False
870962514878431273,555649601772978187,False
870962514878431273,555649601772978187,False
870962514878431273,555649601772978187,False
870962514878431273,555649601772978187,False
502838276294705162,812918364715483158,False
502838276294705162,1143179888984064130,False
502838276294705162,1147903412835459162,False
1147903412835459162,502838276294705162,False
502838276294705162,1147903412835459162,False
502838276294705162,1143179888984064130,False
502838276294705162,1147903412835459162,False
502838276294705162,1143179888984064130,False
1143179888984064130,502838276294705162,False
1147903412835459162,502838276294705162,False
502838276294705162,1141419953942175754,False
1143179888984064130,502838276294705162,False
1141419953942175754,502838276294705162,False
502838276294705162,1141419953942175754,False
502838276294705162,660648170967007234,False
406462961457168394,994411048104894515,False
660648170967007234,502838276294705162,False
994411048104894515,406462961457168394,False
502838276294705162,660648170967007234,False
