SortNo,Music_Title,Nickname,Artist,BPM,Side,Pack,Version,FTR_Level,FTR_Const,BYD_Level,BYD_Const
60,Grievous Lady,ぐりーばすれでぃー,Team Grimoire vs Laur,210,Tairitsu,Vicious Labyrinth,1.05,11,11.3,,
61,Surrender,されんだー,void,152,Hikari,Memory Archive,1.05,8,8.8,,
62,夜桜吹雪,よざくらふぶき,A.SAKA,172,Hikari,Memory Archive,1.05,9,9.4,,
63,Reinvent,れいんヴぇんと,Sound Souler,174,Hikari,Arcaea,1.05,8,8.5,,
64,Syro,さいろ,Mitomoro,178,Hikari,Arcaea,1.05,9,9.3,,
65,Dream goes on,どりーむごーずおん,Tiny Minim,174,Hikari,Lanota,1.05,7,7.5,,
66,Journey,じゃーにー,ARForest,200,Hikari,Lanota,1.05,8,8.8,,
67,Specta,すぺくた,Junk,179,Hikari,Lanota,1.05,9,9.5,,
68,Quon,くおん,Feryquitous,189,Hikari,Lanota,1.05,9,9.6,,
69,cyanine,しあにん,jioyi,182,Tairitsu,Lanota,1.05,10,10.6,,
70,Metallic Punisher,めたりっくぱにっしゃー,INNOCENT NOISE,165,Tairitsu,Memory Archive,1.05,10,10.3,,
71,Blaster,ぶらすたー,Massive New Krew,180,Tairitsu,Arcaea,1.05,9,9.3,,
72,next to you,ねくすととぅーゆー,"uma feat. 橘花音	",165,Hikari,Binary Enfold,1.06,8,8.8,,
73,Silent Rush,さいれんとらっしゅ,Soleily,158,Tairitsu,Binary Enfold,1.06,8,8.6,,
74,Strongholds,すとろんぐほーるどず,Yooh,105,Tairitsu,Binary Enfold,1.06,9,9.2,,
75,Memory Forest,めもりーふぉれすと,ETIA.,178,Hikari,Binary Enfold,1.06,9.7,9.8,,
76,Singularity,しんぎゅらりてぃ,ETIA.,175,Tairitsu,Binary Enfold,1.06,10.7,10.7,,
77,carmine:scythe,かーまいんさいず,かゆき,165,Tairitsu,Memory Archive,1.06,9,9.6,,
78,γuarδina,がーでぃな,Aoi,202,Hikari,Memory Archive,1.06,10,10.4,,
79,Cybernecia Catharsis,さいばねしあかたるしす,Tanchiky,184,Tairitsu,Arcaea,1.06,9,9.5,,
80,Be There,びーぜあー,PSYQUI,164,Hikari,Memory Archive,1.06,9,9.4,,
81,inkar-usi,いんかるし,DIA,102,Hikari,Arcaea,1.06,7,7.5,,
82,Call My Name feat. Yukacco,こーるまいねーむ,Mameyudoufu,175,Hikari,Memory Archive,1.06,8,8.7,,
83,Suomi,すおみ,Aire,125,Hikari,Arcaea,1.07,7,7.5,,
84,Bookmaker (2D Version),ぶっくまーかー,Kobaryo,175,Tairitsu,Arcaea,1.07,8,8.3,,
85,堕楽の園,だらくのその,gmtn. (witch's slave),168,Tairitsu,Arcaea,1.07,9,9.5,,
86,九番目の迷路,きゅうばんめのめいろ,アリスシャッハと魔法の楽団,159,Hikari,Luminous Sky,1.07,8,8.9,,
87,The Message,ざめっせーじ,Jun Kuroda,202,Hikari,Luminous Sky,1.07,9.7,9.7,,
88,Sulfur,さるふぁー,ぺのれり,182,Hikari,Luminous Sky,1.07,9.7,9.7,,
89,Halcyon,はるしおん,xi,191,Hikari,Luminous Sky,1.07,10.7,10.7,,
90,Ether Strike,えーてるすとらいく,Akira Complex,156,Hikari,Luminous Sky,1.07,10,10.3,,
91,Fracture Ray,ふらくちゃーれい,Sakuzyo,200,Hikari,Luminous Sky,1.07,11,11.3,,
92,Nhelv,ねるふ,Silentroom,174.59,Tairitsu,Arcaea,1.07,9.7,9.9,,
93,dropdead,どろっぷでっど,Frums,50,Tairitsu,Memory Archive,1.07,8,9.1,,
94,Fallensquare,ふぉーれんすくえあ,Silentroom,99,Tairitsu,Memory Archive,1.07,9,9.6,,
95,白道、多希望羊と信じありく。,びゃくどう、たきぼうようとしんじありく。,Apo11o program ft. 大瀬良あい,192,Tairitsu,Arcaea,1.07,9,9.6,,
96,Purgatorium,ぷるがとりうむ,お月さま交響曲,150,Tairitsu,Arcaea,1.07,8,8.4,,
97,Alexandrite,あれきさんどらいと,WAiKURO,146,Tairitsu,Memory Archive,1.07,10,10,,
98,光,ひかり,THB,130,Tairitsu,Tone Sphere,1.08,8,8.1,,
99,Hall of Mirrors,ほーるおぶみらーず,Sta,147,Tairitsu,Tone Sphere,1.08,8,8.2,,
100,STAGER (ALL STAGE CLEAR),すていじゃー,Ras,145,Hikari,Tone Sphere,1.08,9,9.5,,
101,Linear Accelerator,りにああくせられーた,THE SHAFT,211.9,Hikari,Tone Sphere,1.08,9.7,9.8,,
102,Tiferet,ていふぁれっと,xi vs Sta,140,Tairitsu,Tone Sphere,1.08,10,10.4,,
103,Rugie,るぎえ,Feryquitous feat.Sennzai,191,Tairitsu,Arcaea,1.08,9,9.2,,
104,Astral tale,あすとらるてーる,Noah,134,Tairitsu,Memory Archive,1.08,9,9.6,,
105,Phansasia,ふぁんたしあ,Yunosuke,153,Hikari,Memory Archive,1.08,9,9.2,,
